LOCATION,POPULATION
Thrinia ,55
Milia Pafou,14
Kritou Marottou,85
Fyti,150
Lasa,67
Drymou,110
Simou,185
Anadiou,17
Sarama,2
Evretou,3
Filousa Chrysochous,31
Meladeia,17
Melandra,2
Lysos,205
Peristerona Pafou,302
Theletra,269
Giolou,762
Pano Akourdaleia,44
Miliou ,89
Kato Akourdaleia,65
Tera,36
Kritou Tera,86
Skoulli,65
Choli,83
Loukrounou,4
Karamoullides,33
Chrysochou,132
Polis Municipality,"2,018"
Polis Chrysochous,"1,313"
Prodromi,705
Neo Chorio Pafou,519
Goudi,204
Kato Arodes,39
Pano Arodes,135
Ineia,385
Drouseia ,405
Fasli,0
Androlikou,34
Pelathousa ,57
Kynousa,71
Makounta,116
Argaka,"1,078"
Gialia,202
Agia Marina Chrysochous,647
Nea Dimmata,50
Pomos ,448
Steni,173
Agios Isidoros,7
